Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
Desert,Methyl jasmonate,7,120,18,3.67,25.89,79.01625675,3
,,,,,,,,
Desert,Methyl jasmonate,7,120,31,7.02,,200.4404897,3
,,,,,,,,
Desert,Methyl jasmonate,7,121,31,3.16,21.82,51.16515367,4
,,,,,,,,
Desert,Methyl jasmonate,7,121,26,4.02,12.96,67.68159838,4
,,,,,,,,
Desert,Methyl jasmonate,7,121,31,5.12,18.71,57.32333184,4
,,,,,,,,
Desert,Methyl jasmonate,8,122,26,5.43,11.81,66.79333994,4
,,,,,,,,
Desert,Methyl jasmonate,8,122,24,3.46,11.14,41.19379748,4
,,,,,,,,
Desert,Methyl jasmonate,8,122,22,4.41,,51.46230159,4
,,,,,,,,
Desert,Methyl jasmonate,8,123,31,6.46,19.15,68.27117485,5
,,,,,,,,
Desert,Methyl jasmonate,8,123,31,6.84,15.18,70.35792313,5
,,,,,,,,
Desert,Methyl jasmonate,8,123,31,8.32,25.57,66.73168579,5
,,,,,,,,
Desert,Methyl jasmonate,8,124,31,3.87,12.04,47.30048216,4
,,,,,,,,
Desert,Methyl jasmonate,8,124,31,4.05,13.99,58.51860004,4
,,,,,,,,
Desert,Methyl jasmonate,8,124,27,4.25,20.19,47.37415751,4
,,,,,,,,
Desert,Methyl jasmonate,9,125,26,4.12,18.87,53.50369067,5
,,,,,,,,
Desert,Methyl jasmonate,9,125,26,3.6,17.03,51.51088953,4
,,,,,,,,
Desert,Methyl jasmonate,9,125,26,4.24,13.52,75.99249044,4
,,,,,,,,
Desert,Methyl jasmonate,9,126,31,4.79,16.74,53.84192914,5
,,,,,,,,
Desert,Methyl jasmonate,9,126,26,10.31,20.1,71.66678731,5
,,,,,,,,
Desert,Methyl jasmonate,9,126,29,9.16,16.62,67.3907009,5
,,,,,,,,
Desert,Methyl jasmonate,9,127,24,,20.04,57.90640394,4
,,,,,,,,
Desert,Methyl jasmonate,9,127,29,4.4,11.56,69.17786995,4
,,,,,,,,
Desert,Methyl jasmonate,9,127,26,3.41,11.63,48.93376124,5
,,,,,,,,
Desert,Methyl jasmonate,10,128,29,4.03,18.56,59.58214496,3
,,,,,,,,
Desert,Methyl jasmonate,10,128,26,2.34,12.76,59.19355845,3
,,,,,,,,
Desert,Methyl jasmonate,10,128,29,4.72,35.29,62.7270372,3
,,,,,,,,
Desert,Methyl jasmonate,10,129,24,3.22,16.71,44.12521339,4
